SURVEY_ID,SURVEY_RESPNS_ID,SURVEY_AA_CUST_UNIQUE_ID,SEG_DEP_DT,SEG_DEP_AIRPRT_IATA_CD,SEG_ARVL_AIRPRT_IATA_CD,OPERAT_FLIGHT_NBR,FLEET_CD,SUBFLEET_CD,CABIN_FLOWN_CD,LIKELIHOOD_RECOMMEND_ORIG_LANG_TXT,LIKELIHOOD_RECOMMEND_SCL,NET_PROMO_CATG,Wifif Category
SV_4SJm25NwBp7FfRs,R_2Pd8Mvkoo4LpwEt,8084361285.0,2026-07-08,IDA,DFW,6466,CRJ,OO7,Y,Courteous staff and free WiFi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5PUg70MVgyvVa4U,1150283934.0,2026-02-07,LAS,ORD,3312,737,38K,Y,Love the new free wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_32slBKB2YCZjAv7,8088445513.0,2026-06-18,DCA,TPA,2773,319,A19,Y,Easy and efficient travel.  Free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_66AzCcbG4HM6egp,8092381617.0,2026-08-14,CLT,FWA,5975,ERJ,EMP,Y,Small outdated plane with no wifi,4,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1YUGJAin1FZOJsR,1500277464.0,2026-02-08,CLT,SHV,4965,CRJ,OO7,C,No WIFI,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_5Lol4dmuaS4k0sA,159237295.0,2026-03-02,MIA,DFW,2955,777,77W,Y,Trip went very well.  No wifi,10,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_6KAtH0JyB4Z8MMk,8124468604.0,2026-07-03,DFW,FWA,3532,EMJ,E7M,Y,Thank you for having free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7b1wJZYdjwTUIox,8118312603.0,2026-02-06,PVD,DCA,2239,319,A19,Y,had trouble trying to connect to wifi,8,Passive,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_1jp4mSYy46v5itf,8158053747.0,2026-06-07,PHL,TYS,5066,CRJ,CP9,C,No WiFi,8,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1JDmLFuOy9C1uGR,365505492.0,2026-01-25,BOS,LAX,3097,321,32T,Y,I really enjoyed the new free WiFi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6SIkQDLhegDmbdd,1796996568.0,2026-01-20,CLT,PHL,2286,321,32C,Y,Provide free WiFi,9,Promoter,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_3o5fnLNqli0gdg2,406355021.0,2026-05-17,JFK,SNA,2915,321,32T,C,Plane felt new but I wish you had starlink with super simple ways to log on wifi,9,Promoter,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_3Vf1dFiD5LFcGyL,1714747875.0,2026-05-12,MCI,DCA,5318,CRJ,CP9,Y,APU broken no AC on ground and no WiFi,6,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_7MqIkBrIxd54I0h,886490047.0,2026-05-20,RSW,CLT,2704,321,A21,Y,"Use a plane large enough to offer beverage service, snacks and wifi",5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3KNrSfDSzUUNKrR,8183821042.0,2026-07-31,SEA,DFW,757,321,32C,Y,Free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5CHdXQKQwdg09cX,8178108907.0,2026-05-26,MIA,SFO,2426,321,32E,Y,"Despite having seats at the very back, I was able to charge my phone. Additionally, I had free WiFi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6TzqBhAf5QAIQUY,588174578.0,2026-03-25,CLE,ORD,3514,EMJ,E7M,Y,Loving the free WiFi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7qTfYxrhsroci4h,8162607827.0,2026-02-05,DFW,SBN,6305,CRJ,OO7,Y,On time great wifi,8,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7FQdRjGLceBKhtA,434559272.0,2026-04-17,PHL,SEA,888,737,38M,Y,"The flight was available and at a time that worked for my schedule. I don't like that I'm going to need to phone support in order to log into my rewards account and couldn't do it via the website, and that that prevented me from being able to use inflight wifi",7,Passive,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_6iyjbNXSppXNNRI,108817520.0,2026-04-29,ORD,CHS,4711,EMJ,E75,Y,There was no wifi,6,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_7Igtbbg9dIybOew,365245063.0,2026-03-11,PHL,MYR,5888,ERJ,EMP,Y,"Old plane, too small, completely full so no overhead space, no WiFi",5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_T1xLeorx8IM3JAZ,316960227.0,2026-07-29,BGR,CLT,1463,321,A21,Y,Comfortable and free wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_1pshVBq8OgGu7y9,408083912.0,2026-07-01,DCA,BGR,5061,CRJ,CR7,C,No wifi,9,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_5EcKXPDsZe091AT,10936386.0,2026-02-11,ORD,LAX,2710,737,38M,Y,Loved free WiFi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_3GEe0LiGHyPixmu,8180292869.0,2026-07-05,LGA,DFW,3289,321,A21,Y,"No delayed flights, clean cabin, and with inflight wifi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_60MGTC5IVcV6Ifk,1533457726.0,2026-05-06,MSN,DFW,2007,320,A05,Y,Just a fun trip nice crew love the free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6QhLfCNcwwGMlmO,1850192563.0,2026-03-06,PHX,PDX,1872,737,38K,Y,"Good communication regarding gate changes, plane was cleanMake it easier to get on to the wifi",9,Promoter,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_6s41fMUIuAish8t,8022528998.0,2026-06-05,JFK,SFO,149,321,32T,Y,"Very courteous ground and in-flight staff, especially pleased that boarding was paused after a delay (unrelated to the flight or to the plane), so that passengers could relax at the gate instead of cooped up aboardDisappointed that the seat back screen didn't work, nor did the wifi",7,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_7FLGYFR1r18SvTm,8144219391.0,2026-01-04,CUN,JFK,1350,737,38K,Y,Wifi,7,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_7NEEbvd4F39Zy3j,551785703.0,2026-08-11,SBP,DFW,1772,737,38M,Y,Flights were on time. Had free wifi,8,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_3LFJMhgZwSTlmPa,113335311.0,2026-06-11,DUB,DFW,133,777,772,W,no wifi,3,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3KYEsJLgSC00Ijx,608030714.0,2026-03-06,RDU,PHL,5370,CRJ,CP9,Y,There was no wifi,9,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_51eAHHUezxBXaX7,1422345754.0,2026-04-03,ORD,SEA,2398,737,38K,Y,Incredibly expensive wifi,0,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_Z9kXb4Qxd8e0EhP,39480432.0,2026-07-10,AMS,PHL,203,787,788,Y,Wonderful seeive. Thanks for free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6HZ9LpRMCoBxFh7,479183972.0,2026-04-03,BDA,CLT,2085,319,19W,Y,"Flights were on time, crews were great.  Only issue we had was not being able to hear the flight crew from cockpit and we could not get on wifi",9,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_73UyNHv7WPvQHUV,4159798.0,2026-06-12,PHL,MIA,2667,787,789,Y,Wide body aircraft. Left on time. Free Wifi,8,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_3Lhv1yY96FIzmE1,225468300.0,2026-06-04,PVD,DCA,4574,EMJ,E75,Y,"smooth, easy and some flights have free wifi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5kFBb0AzOyZIyDL,8159078070.0,2026-01-23,TPA,LGA,2749,737,38K,Y,Need to provide free tv and free wifi,5,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_7O023lAmUaCQuQ1,8159485790.0,2026-01-16,SJU,MIA,2682,321,A21,Y,Everything was fine.  Specially the on air wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5PsNVDZJRkZhTAn,2768190.0,2026-03-03,STL,CLT,1992,737,38K,Y,No listing of food and drink.  Hard to get WiFi,6,Detractor,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_1CpCE1POQPZ2s44,606360989.0,2026-07-14,PVR,DFW,1114,737,38K,Y,The plane from Dallas to Pittsburgh had no wifi,8,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_60MnB39TPVqnrid,8118072680.0,2026-04-25,CLT,PVD,2584,321,A21,Y,The flight was full but boarding went very smoothly. It was also nice to have free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_62EHhDrQ0rtDNc9,368412953.0,2026-01-19,TPA,DFW,1514,321,A21,Y,Quicker rollout of the free WiFi,9,Promoter,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_2eRqc0O5NloLkTj,8015250945.0,2026-07-17,SAN,CLT,1860,321,32C,Y,"Delayed, no wifi",5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3LtQwV9dcvTRYdj,325439759.0,2026-02-21,LGA,ORD,4570,EMJ,E75,Y,No wifi,1,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1oRgtjvaVzA3yNE,1647839656.0,2026-06-12,LAS,DFW,3285,321,32N,Y,Free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5jGgWpcgnkp3kat,822644192.0,2026-06-11,MIA,SFO,2035,737,38K,Y,Poor and non existent wifi,2,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3kIbpdpeemrWpOb,8154847889.0,2026-05-20,DCA,MCI,4068,EMJ,E7M,Y,No WiFi,7,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_52LlQ2LkfdxLtuX,51087979.0,2026-01-13,MIA,MCO,2476,321,32E,Y,No more Tmobile wifi,5,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_7GrnRz5kJLtEBLs,10082680.0,2026-02-14,MIA,SFO,888,321,32E,C,"The pitch on the first class seats is horrible, also it would make sense to have an Apple compatible port to use wifi",7,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_671cHvK1PeOe7N9,300541890.0,2026-01-27,LAX,XNA,4894,EMJ,O75,C,Faster wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6jYnNdSeMFlzeOB,381759098.0,2026-01-16,RNO,PHX,2670,737,38K,Y,Timeliness and wifi,8,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_6NLMtwuGg9sF6tH,8178921819.0,2026-08-12,ELP,LAX,4973,EMJ,O75,Y,We didn't have wifi,9,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_147nSigXefAZEel,8093262477.0,2026-06-24,ORF,ORD,4643,EMJ,R75,Y,good flight good wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5EzQwy62ksedV45,402475062.0,2026-08-15,SEA,MIA,1484,737,38M,Y,No wifi,6,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1whRQfv0cbJN8eB,1747683260.0,2026-05-22,EDI,PHL,279,787,789,C,No free wifi,1,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_7FUNVAiE2EDWHP1,8158206571.0,2026-03-19,HNL,PHX,694,787,788,Y,Provide complimentary wifi,9,Promoter,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_625pv4umDAdRBVf,1572698530.0,2026-05-23,PVR,LAX,2883,737,38K,Y,better snacks appreciated! also better wifi,8,Passive,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_6SdDCOvsh0Du6Py,368794765.0,2026-06-16,JFK,CVG,4609,EMJ,E75,C,No wifi,7,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1dKpZvSba7CQScf,3529473.0,2026-06-10,JFK,BGI,585,737,38M,Y,Excellent wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_728ZM8TsnmaTHnP,454636783.0,2026-06-27,CUN,PHL,1971,737,38K,Y,ComfortEaseAnd wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_2uIGJ9pAi4G62XH,7869165.0,2026-07-13,JFK,LHR,142,777,77W,C,I keep receiving emails regarding WiFi on flights but still had to pay for bad Wifi,4,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_1xMHBbrUDBlR0Ah,369690334.0,2026-04-28,KOA,PHX,664,321,32E,Y,On none of my flights to Kona or on my way back I could not access the inflight WiFi,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3MNdfAvENnJHgge,8117334945.0,2026-01-15,SNA,PHX,2214,737,38M,Y,Offer free wifi,3,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_5j8R5KAHGoN3Afm,49034404.0,2026-01-18,DFW,PHL,1781,787,789,Y,There is little to no leg room and the seats seem to be getting smaller.  I was also not able to long into the WiFi,7,Passive,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_5qfk6H0YsYzbMa6,193044113.0,2026-06-26,MIA,LAX,3288,787,788,C,No Wifi,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_5y19WE8bKKDgjFo,8164344001.0,2026-03-25,PHX,EWR,2669,737,38M,Y,Got there early and free WiFi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_3BV58Hu0Fh63joY,878179593.0,2026-06-08,XPL,MIA,454,737,38R,Y,"I have a wonderful experience, very happy for the wifi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_yKET2qCmBMMwTD3,8184038742.0,2026-07-19,GCK,DFW,3999,EMJ,E7M,Y,Free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_1PXFGkFPwFol8uf,8018299990.0,2026-07-11,RDU,LAX,1569,321,32C,C,I was counting on WiFi for much needed work and there was no WiFi,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3EMCwHdnSWWkW1o,8173635704.0,2026-07-11,DFW,SGF,5551,CRJ,CR7,Y,"Was a smooth flight, appreciated the wifi",8,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5ixR4DDLoO6vBhT,370374019.0,2026-04-05,CDG,PHL,755,787,788,Y,I feel the service on long haul flights are all very similar and only involve the beginning and end of the flight.  There is no service in the middle of the flight.  No drinks offered or food in the middle 5 hours of the flight.And the free wifi was not on my flight.  Long haul flights would greatly benefit from free wifi,5,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_1jMPfQz5LPrD4qJ,266032108.0,2026-03-02,BNA,LGA,4676,EMJ,E75,C,provide wifi,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1GBneHpagy5fu2v,435822748.0,2026-07-14,PHL,DEN,1759,737,38K,Y,really appreciate the free wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7MPW1InJHboOJGR,1711912131.0,2026-03-30,LAX,JFK,274,777,772,Y,Free Wifi,6,Detractor,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7CE99dcWQPYVsRA,943167913.0,2026-02-23,BZN,ORD,2499,737,38M,Y,Liked Free wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7LjPOfzFubwj7cI,10667933.0,2026-01-24,EWR,MIA,1692,737,38K,Y,Flt was good but I couldn't connect to wifi,10,Promoter,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_30Ti9T4FlVC1HE9,408932964.0,2026-06-04,BOS,PHX,2315,737,38K,Y,Wifi did not work on either flight. This is inconvenient as my travel is frequently for work and I need wifi,7,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_5n0VeI35cUtOHe4,220928110.0,2026-04-07,LAX,JFK,274,777,772,Y,free wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5uxDzhKAWZAxQHj,267182859.0,2026-08-17,SFO,DFW,2205,321,A21,Y,Wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_1RXLXreDxvfF2gx,96113378.0,2026-04-25,DCA,ORD,1328,319,A19,Y,"On time, friendly staff, Free wifi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_2qBSXP7V9lIGbbH,827008273.0,2026-01-23,SAL,MIA,356,737,38K,Y,On-time arrival is the best in AA and also wifi,7,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6y2gOO6bH6Or0fD,450244678.0,2026-04-06,ROC,BOS,6067,ERJ,EMP,Y,"The plane is dirty, the aisles are very narrow and there is no wifi",5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_5P0YPjzBZISFY4t,677913401.0,2026-08-17,PDX,DFW,982,321,A21,Y,I wasn't able to access the wifi,7,Passive,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_3nUdzm2umxZ1jjO,1676185203.0,2026-04-22,MBJ,JFK,1247,737,38M,Y,On time flight great wifi,8,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_3gGtKYYtwugUXlt,8105680740.0,2026-08-04,SJC,DFW,2572,737,38K,Y,"On time, comfortable seats and inflight wifi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6VvwiuqWYxf8Cdj,149713124.0,2026-01-09,BOG,DFW,1122,737,38M,Y,Food could be improved. Screens should be added. Free WiFi,7,Passive,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_3mQWmm6VShNXXgh,8038462.0,2026-01-15,JAX,DFW,2415,737,38R,Y,Wifi charges are onerous...Platinum or higher level members should get comp wifi,10,Promoter,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_7V7oJ6acnGJ7LVO,520999884.0,2026-03-27,MSY,LGA,3090,737,38K,Y,Love the free WiFi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_2wSreEmGb1cNxJv,10172374.0,2026-07-31,TPA,DFW,2814,737,38R,C,No WiFi,2,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_61bqB1E8ZeM24Fs,8172687512.0,2026-04-18,BGI,MIA,2725,737,38M,Y,The flights were good I guess there could be a slight improvement of snacks or offer free wifi,7,Passive,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_1MnxBD4qydKexh3,8080826377.0,2026-04-20,BOS,CMH,4712,EMJ,E75,C,Fix the wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_3etueHLiQlcfcyI,267669134.0,2026-07-08,LGA,CHO,4381,EMJ,E7R,C,On-time departure; onboard crew were delightful; no wifi,8,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_7zGlMnWGDxsbFER,8159838765.0,2026-02-09,BZE,CLT,2514,737,38K,Y,"good app, nice crew, free wifi",9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7I5fVcdiLzHP9uS,1039672.0,2026-03-23,OKC,CLT,4886,CRJ,OO7,Y,On time and wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5JgXn9X4Dh5uluI,1693113567.0,2026-01-05,RDU,JFK,4765,EMJ,R75,C,Comfy seats and easy access wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7eEYm2L2CmfrqOR,20636233.0,2026-03-11,MSY,CLT,2158,737,38K,Y,on time and comfortable.  good wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_5g1njcigpjxbpwR,497422998.0,2026-02-27,RDU,CLT,683,321,32C,Y,No wifi,10,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1JOvRcBEUUeMk0c,709853830.0,2026-07-10,XNA,LGA,4620,EMJ,R75,Y,no WiFi,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_6HGRHRxckHVR8Rj,105503473.0,2026-05-29,CLE,ORD,6363,CRJ,OO7,Y,On time.  Decent snacks.  WiFi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_7QuEvep7pq54DX5,8125195574.0,2026-04-16,PIT,PHL,6122,ERJ,EMP,Y,"It was very small, there was no charging or wifi",2,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_5feAjpGl5anYbGF,8107382635.0,2026-02-18,BNA,CLT,5479,CRJ,CP9,Y,Newer airplane with overhead space and the first flight in the last three with working Wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_36eTV2vA7IXKRhN,8168807079.0,2026-04-26,GEO,MIA,1512,737,38M,Y,I liked the skill of the pilots and the in-flight wifi,8,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_38HsjZgSxj0OPcv,8051815048.0,2026-02-08,COS,DFW,6390,CRJ,OO7,Y,Flight from COS to DFW did not have wifi,8,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_629CMdbK3OJ64E5,1437426203.0,2026-01-22,SJD,DFW,2807,321,A21,Y,no free wifi,2,Detractor,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_90MeAxViQj6trTn,8181508314.0,2026-07-04,JFK,DEL,292,787,789,Y,No wifi,8,Passive,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_6PSJCBzliEIvoZA,1514779678.0,2026-02-14,SXM,CLT,2478,737,38M,Y,Could not get on to wifi,8,Passive,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_6dS1ING5TcRbsid,8044517956.0,2026-05-04,DFW,IAH,2157,319,A19,Y,Wifi,9,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_16xKEITEmW3wrUB,521374360.0,2026-01-05,TUS,ORD,4171,EMJ,E7Q,C,Great but has no WIFI,10,Promoter,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_6EtWLLn4K9qFxtn,524901277.0,2026-07-01,HNL,LAX,164,321,32E,Y,"Great, easy flight. Loved the free Wifi",10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_725rM3nFXyY6IfZ,428539021.0,2026-03-21,TPA,MIA,4769,EMJ,R75,Y,Everything went well but had difficulty using the wifi,9,Promoter,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_5AMOAXbMBAUqoZO,8150018447.0,2026-05-30,RAP,DFW,4277,EMJ,E7M,C,"I flew first class on this flight, and there were no televisions and the wifi was not very good.  That is too much to pay for no food, ********** snacks, no television and bac wifi",4,Detractor,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_3V8QYMqzrKbensG,201057649.0,2026-01-10,MIA,STT,2735,737,38M,Y,Internet,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_38UM51woRDFrET8,1356780835.0,2026-05-05,BCN,JFK,67,787,788,Y,I was dissatisfied that I had to pay $35 for wifi,10,Promoter,"No free wifi (was available, but expensive, need more free wifi)"
SV_4SJm25NwBp7FfRs,R_3JDT8mDV4G20hPF,8170476128.0,2026-05-01,TPA,PHX,2371,321,32N,Y,"There was a delay, only one bathroom, and no wifi",2,Detractor,Wi-Fi Unavailable
